id	source
enevaeldens_nyheder_aarhus_1799-09-28_1024213	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1787-07-01_1139467	enevaeldens_nyheder
cellar_46190	cellar
wiki_739641	wiki
enevaeldens_nyheder_berlingske_1831-02-11_1297065	enevaeldens_nyheder
CM024364	retsinformationdk
tidsskrift-dk_00351	tidsskrift-dk
cellar_57876	cellar
cellar_55101	cellar
CA006930	retsinformationdk
CS000627	retsinformationdk
CG000269	retsinformationdk
enevaeldens_nyheder_berlingske_1761-06-15_1089786	enevaeldens_nyheder
maalfrid_25276ed06cc1f9daec87f52ac034da541bee7c0f_503	ncc_maalfrid
AL001873	retsinformationdk
cellar_1495	cellar
wiki_521557	wiki
cellar_23542	cellar
ai-aktindsigt_160438	ai-aktindsigt
enevaeldens_nyheder_nsk_1818-01-31_1059660	enevaeldens_nyheder
cellar_25914	cellar
BE002018	retsinformationdk
enevaeldens_nyheder_aalborg1827_1830-11-27_1036600	enevaeldens_nyheder
AN009714	retsinformationdk
enevaeldens_nyheder_viborg_1782-02-18_1011183	enevaeldens_nyheder
AS001103	retsinformationdk
CN000268	retsinformationdk
enevaeldens_nyheder_berlingske_1769-04-10_1142215	enevaeldens_nyheder
CN000987	retsinformationdk
AX031652	retsinformationdk
ep_06-04-03	ep
AN012077	retsinformationdk
enevaeldens_nyheder_adresseavisen_1792-03-23_1329454	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1824-03-12_1191034	enevaeldens_nyheder
CM009043	retsinformationdk
kb_administrative_publication_jarfcloghvadså...1012	kb_administrative_publication
AX029910	retsinformationdk
cellar_4078	cellar
wiki_270296	wiki
2847	Domsdatabasen
enevaeldens_nyheder_viborg_1790-07-19_1020811	enevaeldens_nyheder
kb_administrative_publication_privateinvesteringe...9438	kb_administrative_publication
AN011319	retsinformationdk
enevaeldens_nyheder_odense_1773-08-27_1003027	enevaeldens_nyheder
AN002699	retsinformationdk
miljoeportalen_1817	miljoeportalen
enevaeldens_nyheder_slagelse_1842-10-20_1007303	enevaeldens_nyheder
skat_SKM2001.400.VLR	skat
AN016216	retsinformationdk
AA011112	retsinformationdk
AG000411	retsinformationdk
BC000454	retsinformationdk
cellar_36480	cellar
cellar_58256	cellar
CA006129	retsinformationdk
ai-aktindsigt_147322	ai-aktindsigt
AX021909	retsinformationdk
maalfrid_68c17aded40a8d13c0167bb3bf7c4b8e4b5a2e51_66	ncc_maalfrid
enevaeldens_nyheder_berlingske_1812-09-21_1035962	enevaeldens_nyheder
ai-aktindsigt_131620	ai-aktindsigt
AN015853	retsinformationdk
cellar_61857	cellar
cellar_36310	cellar
enevaeldens_nyheder_ribe_1812-05-08_1081975	enevaeldens_nyheder
wiki_324	wiki
cellar_62620	cellar
wiki_560543	wiki
cellar_27242	cellar
BE000520	retsinformationdk
ai-aktindsigt_187864	ai-aktindsigt
health_hovedstaden_6702	health_hovedstaden
cellar_48473	cellar
cellar_1638	cellar
tidsskrift-dk_04046	tidsskrift-dk
enevaeldens_nyheder_viborg_1834-06-22_1254565	enevaeldens_nyheder
ai-aktindsigt_138731	ai-aktindsigt
ai-aktindsigt_131732	ai-aktindsigt
enevaeldens_nyheder_aalborg1818_1819-03-05_1007888	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1779-12-13_1076105	enevaeldens_nyheder
AN006466	retsinformationdk
health_hovedstaden_19637	health_hovedstaden
AU001952	retsinformationdk
kb_historical_letters_ingemanntilchost...4262	kb_historical_letters
skat_SKM2007.195.LSR	skat
enevaeldens_nyheder_nsk_1822-04-30_1042536	enevaeldens_nyheder
cellar_31597	cellar
CS001121	retsinformationdk
AA007676	retsinformationdk
AA012848	retsinformationdk
enevaeldens_nyheder_viborg_1778-07-06_1006070	enevaeldens_nyheder
enevaeldens_nyheder_maribo_1819-11-19_1044589	enevaeldens_nyheder
danske-taler_5319	danske-taler
enevaeldens_nyheder_viborg_1825-04-20_1193334	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1824-08-13_1197078	enevaeldens_nyheder
enevaeldens_nyheder_ribe_1820-06-09_1120504	enevaeldens_nyheder
cellar_3658	cellar
cellar_61044	cellar
cellar_21915	cellar
wiki_474775	wiki
AX004471	retsinformationdk
DH000783	retsinformationdk
enevaeldens_nyheder_adresseavisen_1796-06-29_1468829	enevaeldens_nyheder
cellar_21540	cellar
CM013561	retsinformationdk
wiki_869188	wiki
enevaeldens_nyheder_nsk_1811-02-16_1024925	enevaeldens_nyheder
CS001817	retsinformationdk
cellar_20692	cellar
opensub_161485	opensubtitles
AA011647	retsinformationdk
health_hovedstaden_3548	health_hovedstaden
enevaeldens_nyheder_aalborg1827_1830-04-27_1030754	enevaeldens_nyheder
skat_SKM2012.752.SR	skat
enevaeldens_nyheder_nsk_1816-08-03_1055182	enevaeldens_nyheder
AX006045	retsinformationdk
wiki_201028	wiki
ft_20191M134	ft
AN009441	retsinformationdk
CL007646	retsinformationdk
municipality_meetings_adddfaa...18259	municipality_meetings
health_hovedstaden_6500	health_hovedstaden
CJ000512	retsinformationdk
AX031016	retsinformationdk
kb_historical_letters_kielddefebrua...6666	kb_historical_letters
enevaeldens_nyheder_ribe_1844-05-15_1002540	enevaeldens_nyheder
BL000149	retsinformationdk
cellar_54951	cellar
DH001921	retsinformationdk
enevaeldens_nyheder_aalborg1818_1818-08-26_1004168	enevaeldens_nyheder
AA013773	retsinformationdk
wiki_188881	wiki
ai-aktindsigt_129010	ai-aktindsigt
enevaeldens_nyheder_aarhus_1844-03-06_1347410	enevaeldens_nyheder
AA005016	retsinformationdk
enevaeldens_nyheder_odense_1828-08-21_1336232	enevaeldens_nyheder
AX018918	retsinformationdk
cellar_13867	cellar
AX009646	retsinformationdk
AX023842	retsinformationdk
AX015691	retsinformationdk
health_hovedstaden_19594	health_hovedstaden
CL004344	retsinformationdk
cellar_8579	cellar
AK000344	retsinformationdk
CF000699	retsinformationdk
enevaeldens_nyheder_adresseavisen_1781-12-14_1043656	enevaeldens_nyheder
AK000762	retsinformationdk
wiki_903093	wiki
ai-aktindsigt_130281	ai-aktindsigt
cellar_39036	cellar
AX021754	retsinformationdk
cellar_40577	cellar
enevaeldens_nyheder_slagelse_1837-07-07_1003287	enevaeldens_nyheder
wiki_293409	wiki
AX021092	retsinformationdk
cellar_19617	cellar
health_hovedstaden_2699	health_hovedstaden
AN005166	retsinformationdk
cellar_30641	cellar
ep_97-02-20	ep
BM000252	retsinformationdk
enevaeldens_nyheder_odense_1812-07-17_1201709	enevaeldens_nyheder
cellar_16579	cellar
cellar_42178	cellar
enevaeldens_nyheder_bergen_1778-05-18_1014095	enevaeldens_nyheder
wiki_1150239	wiki
enevaeldens_nyheder_aalborg1767_1793-12-20_1044958	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1777-03-01_1054480	enevaeldens_nyheder
health_hovedstaden_18167	health_hovedstaden
AN010229	retsinformationdk
BK000904	retsinformationdk
enevaeldens_nyheder_ribe_1834-09-23_1192261	enevaeldens_nyheder
opensub_6647559	opensubtitles
cellar_22634	cellar
enevaeldens_nyheder_slagelse_1822-01-22_1030528	enevaeldens_nyheder
opensub_143350	opensubtitles
AX028163	retsinformationdk
AX030726	retsinformationdk
cellar_6808	cellar
CJ000042	retsinformationdk
cellar_48651	cellar
enevaeldens_nyheder_odense_1835-09-08_1399706	enevaeldens_nyheder
AN000365	retsinformationdk
AX013281	retsinformationdk
skat_SKM2016.353.SR	skat
cellar_15832	cellar
danske-taler_2594	danske-taler
maalfrid_cb3264e773851916efef7424f3421314904dbc74_123	ncc_maalfrid
health_hovedstaden_2411	health_hovedstaden
AX000412	retsinformationdk
AN012680	retsinformationdk
cellar_11729	cellar
municipality_meetings_bacfbd...3571	municipality_meetings
enevaeldens_nyheder_berlingske_1831-10-31_1310095	enevaeldens_nyheder
AT004731	retsinformationdk
cellar_47527	cellar
AA007044	retsinformationdk
kb_historical_letters_tilfruheibergzu...4021	kb_historical_letters
AN014330	retsinformationdk
enevaeldens_nyheder_adresseavisen_1765-03-27_1053806	enevaeldens_nyheder
CA007828	retsinformationdk
kb_historical_letters_jlheibergtilc...4313	kb_historical_letters
AN003130	retsinformationdk
cellar_52076	cellar
enevaeldens_nyheder_berlingske_1773-06-14_1026050	enevaeldens_nyheder
health_hovedstaden_3501	health_hovedstaden
wiki_946270	wiki
cellar_35367	cellar
health_hovedstaden_524	health_hovedstaden
cellar_7075	cellar
6494	Domsdatabasen
skat_SKM2009.563.HR	skat
kb_historical_letters_londonapril...1358	kb_historical_letters
skat_SKM2014.851.BR	skat
kb_administrative_publication_aftalemellemregeri...4999	kb_administrative_publication
AA014808	retsinformationdk
wiki_298341	wiki
ai-aktindsigt_45796	ai-aktindsigt
ai-aktindsigt_169309	ai-aktindsigt
tidsskrift-dk_01448	tidsskrift-dk
CG000364	retsinformationdk
cellar_18245	cellar
wiki_28014	wiki
ai-aktindsigt_36348	ai-aktindsigt
retspraksis_3987	retspraksis
AX007935	retsinformationdk
cellar_51888	cellar
enevaeldens_nyheder_odense_1800-06-25_1113284	enevaeldens_nyheder
CM031964	retsinformationdk
ai-aktindsigt_121238	ai-aktindsigt
enevaeldens_nyheder_odense_1845-08-26_1530699	enevaeldens_nyheder
enevaeldens_nyheder_aalborg1827_1832-08-11_1055724	enevaeldens_nyheder
skat_SKM2011.463.SR	skat
AA010501	retsinformationdk
cellar_19588	cellar
health_hovedstaden_12717	health_hovedstaden
enevaeldens_nyheder_viborg_1843-09-05_1007234	enevaeldens_nyheder
enevaeldens_nyheder_odense_1823-02-18_1290422	enevaeldens_nyheder
ai-aktindsigt_179023	ai-aktindsigt
ai-aktindsigt_158143	ai-aktindsigt
BP001571	retsinformationdk
enevaeldens_nyheder_ribe_1845-12-19_1006490	enevaeldens_nyheder
enevaeldens_nyheder_ribe_1830-12-14_1176239	enevaeldens_nyheder
wiki_178353	wiki
kb_administrative_publication_økonomiskkonsekvens...6450	kb_administrative_publication
AT004864	retsinformationdk
enevaeldens_nyheder_adresseavisen_1794-07-02_1402352	enevaeldens_nyheder
AX000064	retsinformationdk
wiki_321488	wiki
enevaeldens_nyheder_odense_1834-10-21_1390939	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1810-07-06_1007266	enevaeldens_nyheder
AX013703	retsinformationdk
DG000205	retsinformationdk
enevaeldens_nyheder_berlingske_1782-09-01_1097666	enevaeldens_nyheder
enevaeldens_nyheder_nsk_1827-01-09_1075750	enevaeldens_nyheder
DH001519	retsinformationdk
ai-aktindsigt_42534	ai-aktindsigt
municipality_meetings_fdce...5899	municipality_meetings
CM030714	retsinformationdk
ai-aktindsigt_126299	ai-aktindsigt
cellar_8345	cellar
tidsskrift-dk_01022	tidsskrift-dk
ai-aktindsigt_160855	ai-aktindsigt
enevaeldens_nyheder_aarhus_1808-07-13_1065199	enevaeldens_nyheder
AK000707	retsinformationdk
enevaeldens_nyheder_odense_1845-06-23_1527862	enevaeldens_nyheder
CA007884	retsinformationdk
AX027414	retsinformationdk
enevaeldens_nyheder_berlingske_1807-09-21_1170490	enevaeldens_nyheder
1582	Domsdatabasen
enevaeldens_nyheder_odense_1781-06-29_1022256	enevaeldens_nyheder
skat_SKM2008.566.SKAT	skat
enevaeldens_nyheder_aarhus_1807-10-14_1061758	enevaeldens_nyheder
wiki_135798	wiki
wiki_551304	wiki
AX028631	retsinformationdk
CQ000710	retsinformationdk
enevaeldens_nyheder_oslo_1782-08-28_1029451	enevaeldens_nyheder
wiki_1015749	wiki
danske-taler_1046	danske-taler
AA013191	retsinformationdk
AX007090	retsinformationdk
maalfrid_a82b2d2e3b95837b2e93f9a24a9aeaeed7b0e900_261	ncc_maalfrid
DC001818	retsinformationdk
municipality_meetings_bbfc...16076	municipality_meetings
health_hovedstaden_7137	health_hovedstaden
enevaeldens_nyheder_slagelse_1817-05-24_1009379	enevaeldens_nyheder
cellar_29799	cellar
municipality_meetings_edaeb...4287	municipality_meetings
cellar_53094	cellar
retspraksis_4173	retspraksis
skat_SKM2011.555.SKAT	skat
CK000031	retsinformationdk
CM010170	retsinformationdk
ai-aktindsigt_194142	ai-aktindsigt
cellar_55576	cellar
BK001635	retsinformationdk
skat_SKM2005.535.LSR	skat
kb_administrative_publication_betænkningomarbejd...5346	kb_administrative_publication
AL002758	retsinformationdk
enevaeldens_nyheder_aalborg1827_1832-12-27_1059865	enevaeldens_nyheder
AX025910	retsinformationdk
CM006247	retsinformationdk
cellar_22247	cellar
cellar_27651	cellar
cellar_10337	cellar
cellar_48150	cellar
BE009178	retsinformationdk
enevaeldens_nyheder_ribe_1836-07-01_1199360	enevaeldens_nyheder
cellar_14054	cellar
enevaeldens_nyheder_berlingske_1783-12-15_1107788	enevaeldens_nyheder
AX019528	retsinformationdk
DH001470	retsinformationdk
AN011934	retsinformationdk
ai-aktindsigt_168519	ai-aktindsigt
kb_historical_letters_udenrigsministerbar...3727	kb_historical_letters
CM018842	retsinformationdk
ai-aktindsigt_139126	ai-aktindsigt
CL004270	retsinformationdk
skat_SKM2008.821.SR	skat
AX022023	retsinformationdk
cellar_58172	cellar
CA000855	retsinformationdk
ai-aktindsigt_62222	ai-aktindsigt
ai-aktindsigt_130097	ai-aktindsigt
cellar_35898	cellar
skat_SKM2011.609.SR	skat
DG000570	retsinformationdk
AN000328	retsinformationdk
health_hovedstaden_877	health_hovedstaden
AX004442	retsinformationdk
AX022418	retsinformationdk
cellar_26403	cellar
cellar_53866	cellar
enevaeldens_nyheder_adresseavisen_1764-03-02_1037701	enevaeldens_nyheder
AX004963	retsinformationdk
enevaeldens_nyheder_pol_742	enevaeldens_nyheder
maalfrid_32388ba05d4087049c1d729e51a2efe14f983d90_4	ncc_maalfrid
AX012061	retsinformationdk
cellar_18783	cellar
ai-aktindsigt_91164	ai-aktindsigt
tidsskrift-dk_00377	tidsskrift-dk
enevaeldens_nyheder_aalborg1767_1789-05-08_1037272	enevaeldens_nyheder
cellar_38134	cellar
enevaeldens_nyheder_aarhus_1846-02-12_1001557	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1802-01-22_1095623	enevaeldens_nyheder
enevaeldens_nyheder_aalborg1827_1829-12-24_1027076	enevaeldens_nyheder
ai-aktindsigt_179315	ai-aktindsigt
wiki_1134928	wiki
AO001217	retsinformationdk
cellar_22494	cellar
AN013500	retsinformationdk
enevaeldens_nyheder_odense_1789-07-07_1051214	enevaeldens_nyheder
cellar_45843	cellar
cellar_43318	cellar
wiki_40174	wiki
AX023634	retsinformationdk
CA006190	retsinformationdk
opensub_3494238	opensubtitles
enevaeldens_nyheder_berlingske_1767-09-04_1133031	enevaeldens_nyheder
wiki_998029	wiki
kb_historical_letters_kjøbenhavndentea...5504	kb_historical_letters
DI001332	retsinformationdk
kb_historical_letters_børringemarts...1916	kb_historical_letters
ai-aktindsigt_129160	ai-aktindsigt
cellar_11720	cellar
digibok_2008072304029	ncc_books
ai-aktindsigt_162492	ai-aktindsigt
maalfrid_582203b731205abed85c9ac1ce3d7181b330d48c_133	ncc_maalfrid
CL000849	retsinformationdk
skat_SKM2018.160.ØLR	skat
opensub_6897562	opensubtitles
cellar_42867	cellar
enevaeldens_nyheder_slagelse_1828-01-26_1056956	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1832-06-15_1323115	enevaeldens_nyheder
CN000250	retsinformationdk
enevaeldens_nyheder_viborg_1814-05-07_1115821	enevaeldens_nyheder
enevaeldens_nyheder_ribe_1824-05-21_1140979	enevaeldens_nyheder
skat_SKM2017.504.ØLR	skat
enevaeldens_nyheder_oslo_1807-05-22_1133760	enevaeldens_nyheder
AX014186	retsinformationdk
cellar_15796	cellar
CM007337	retsinformationdk
ai-aktindsigt_127380	ai-aktindsigt
cellar_24948	cellar
AX007942	retsinformationdk
cellar_52322	cellar
enevaeldens_nyheder_odense_1826-10-24_1320715	enevaeldens_nyheder
cellar_31859	cellar
ep_07-03-13-019	ep
DA001588	retsinformationdk
enevaeldens_nyheder_nsk_1822-04-27_1042517	enevaeldens_nyheder
cellar_37793	cellar
CM035532	retsinformationdk
ai-aktindsigt_186576	ai-aktindsigt
tidsskrift-dk_01849	tidsskrift-dk
enevaeldens_nyheder_berlingske_1789-07-01_1155183	enevaeldens_nyheder
tidsskrift-dk_01554	tidsskrift-dk
enevaeldens_nyheder_odense_1824-08-31_1302989	enevaeldens_nyheder
AX003264	retsinformationdk
CL002498	retsinformationdk
AA012275	retsinformationdk
enevaeldens_nyheder_ribe_1800-02-21_1032269	enevaeldens_nyheder
cellar_39279	cellar
AX021343	retsinformationdk
CF001521	retsinformationdk
skat_SKM2006.254.SR	skat
enevaeldens_nyheder_odense_1824-02-16_1298567	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1776-12-30_1053074	enevaeldens_nyheder
enevaeldens_nyheder_odense_1809-07-10_1177464	enevaeldens_nyheder
tidsskrift-dk_02121	tidsskrift-dk
AX007756	retsinformationdk
enevaeldens_nyheder_extraordinaire_maanedlige_relationer_1679-04-01_1002199	enevaeldens_nyheder
AA009311	retsinformationdk
ai-aktindsigt_154406	ai-aktindsigt
ai-aktindsigt_163124	ai-aktindsigt
skat_SKM2007.454.LSR	skat
AX014858	retsinformationdk
11309	Domsdatabasen
enevaeldens_nyheder_aalborg1767_1816-07-11_1133227	enevaeldens_nyheder
cellar_11046	cellar
AN004681	retsinformationdk
AX006654	retsinformationdk
enevaeldens_nyheder_berlingske_1807-03-16_1163061	enevaeldens_nyheder
cellar_51781	cellar
enevaeldens_nyheder_ribe_1803-11-08_1049704	enevaeldens_nyheder
enevaeldens_nyheder_odense_1818-10-14_1252058	enevaeldens_nyheder
BE003743	retsinformationdk
ai-aktindsigt_166832	ai-aktindsigt
wiki_1159707	wiki
cellar_34338	cellar
CL005535	retsinformationdk
skat_SKM2017.383.LSR	skat
cellar_54427	cellar
enevaeldens_nyheder_aarhus_1833-01-26_1231550	enevaeldens_nyheder
BP000128	retsinformationdk
5900	Domsdatabasen
cellar_23923	cellar
enevaeldens_nyheder_odense_1784-11-02_1031510	enevaeldens_nyheder
AX001384	retsinformationdk
ai-aktindsigt_200256	ai-aktindsigt
cellar_5696	cellar
enevaeldens_nyheder_adresseavisen_1778-03-23_1298156	enevaeldens_nyheder
AA005012	retsinformationdk
maalfrid_020c7852dcce0131a7b0d415c84ac7f5285be371_87	ncc_maalfrid
municipality_meetings_fdcaffea...1473	municipality_meetings
cellar_1444	cellar
enevaeldens_nyheder_berlingske_1762-07-02_1100229	enevaeldens_nyheder
municipality_meetings_bafeee...16727	municipality_meetings
BP000617	retsinformationdk
enevaeldens_nyheder_berlingske_1812-02-10_1027274	enevaeldens_nyheder
AX026349	retsinformationdk
AN012146	retsinformationdk
enevaeldens_nyheder_nsk_1819-04-27_1035317	enevaeldens_nyheder
enevaeldens_nyheder_odense_1805-05-24_1148252	enevaeldens_nyheder
CA006281	retsinformationdk
wiki_899547	wiki
CY000079	retsinformationdk
retspraksis_102	retspraksis
enevaeldens_nyheder_odense_1800-01-03_1109996	enevaeldens_nyheder
enevaeldens_nyheder_viborg_1838-04-30_1278841	enevaeldens_nyheder
cellar_19799	cellar
AU001884	retsinformationdk
wiki_1172142	wiki
ai-aktindsigt_175126	ai-aktindsigt
AX017715	retsinformationdk
cellar_6751	cellar
enevaeldens_nyheder_odense_1815-07-25_1224128	enevaeldens_nyheder
enevaeldens_nyheder_adresseavisen_1804-12-08_1046968	enevaeldens_nyheder
cellar_35722	cellar
municipality_meetings_cefff...13982	municipality_meetings
CL007759	retsinformationdk
wiki_116777	wiki
AX004964	retsinformationdk
cellar_50473	cellar
cellar_17562	cellar
CQ002492	retsinformationdk
AX002268	retsinformationdk
enevaeldens_nyheder_berlingske_1814-12-02_1061615	enevaeldens_nyheder
skat_SKM2019.561.SR	skat
AE002972	retsinformationdk
maalfrid_675145514b94e620d5d23969afbff6111dc22391_86	ncc_maalfrid
ep_10-11-23-019	ep
cellar_33437	cellar
AL002345	retsinformationdk
cellar_28641	cellar
enevaeldens_nyheder_berlingske_1829-03-09_1263786	enevaeldens_nyheder
AX018299	retsinformationdk
enevaeldens_nyheder_berlingske_1777-10-27_1059433	enevaeldens_nyheder
ai-aktindsigt_100887	ai-aktindsigt
health_hovedstaden_10032	health_hovedstaden
AX006508	retsinformationdk
kb_historical_letters_chostruptillmy...4318	kb_historical_letters
wiki_154214	wiki
enevaeldens_nyheder_adresseavisen_1786-01-10_1147191	enevaeldens_nyheder
health_hovedstaden_626	health_hovedstaden
municipality_meetings_ecbdeb...16655	municipality_meetings
enevaeldens_nyheder_berlingske_1804-10-22_1127309	enevaeldens_nyheder
enevaeldens_nyheder_adresseavisen_1769-06-06_1130859	enevaeldens_nyheder
wiki_468983	wiki
AN005818	retsinformationdk
CA001210	retsinformationdk
cellar_4059	cellar
cellar_64326	cellar
wiki_1027410	wiki
kb_administrative_publication_statistiskårbog...5507	kb_administrative_publication
enevaeldens_nyheder_berlingske_1763-11-01_1113263	enevaeldens_nyheder
ai-aktindsigt_55192	ai-aktindsigt
municipality_meetings_ffabeceedbdeb...10366	municipality_meetings
enevaeldens_nyheder_odense_1826-01-10_1314204	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1806-03-17_1147798	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1807-05-29_1166511	enevaeldens_nyheder
wiki_175687	wiki
CQ000961	retsinformationdk
enevaeldens_nyheder_aarhus_1796-06-08_1008556	enevaeldens_nyheder
enevaeldens_nyheder_odense_1835-06-18_1397478	enevaeldens_nyheder
enevaeldens_nyheder_bergen_1800-11-08_1058751	enevaeldens_nyheder
cellar_37552	cellar
CL006995	retsinformationdk
maalfrid_aa8ff77748a8aa7762b3d2316aa5c73b9ce0537e_132	ncc_maalfrid
kb_administrative_publication_dansksundhedsforskn...9553	kb_administrative_publication
enevaeldens_nyheder_viborg_1837-04-01_1271823	enevaeldens_nyheder
skat_SKM2017.296.LSR	skat
enevaeldens_nyheder_nsk_1812-02-18_1028465	enevaeldens_nyheder
enevaeldens_nyheder_adresseavisen_1783-09-16_1085925	enevaeldens_nyheder
health_hovedstaden_11518	health_hovedstaden
skat_SKM2006.763.LSR	skat
danske-taler_3920	danske-taler
enevaeldens_nyheder_viborg_1848-02-08_1053216	enevaeldens_nyheder
health_hovedstaden_2051	health_hovedstaden
enevaeldens_nyheder_berlingske_1784-05-21_1111464	enevaeldens_nyheder
cellar_43572	cellar
maalfrid_871bd135772be15c498aaa36d1632d67b220ee49_0	ncc_maalfrid
health_hovedstaden_15776	health_hovedstaden
CA005548	retsinformationdk
ai-aktindsigt_197003	ai-aktindsigt
cellar_42861	cellar
enevaeldens_nyheder_nsk_1809-07-18_1018921	enevaeldens_nyheder
enevaeldens_nyheder_adresseavisen_1812-09-12_1037762	enevaeldens_nyheder
maalfrid_c1780b47ff27c009bc18cbddaf328673634a05e8_6	ncc_maalfrid
cellar_54689	cellar
CA002791	retsinformationdk
BS006690	retsinformationdk
kb_administrative_publication_forsøgmedteknologi...11965	kb_administrative_publication
ep_06-12-12-020	ep
retspraksis_905	retspraksis
wiki_20598	wiki
AA008903	retsinformationdk
wiki_46327	wiki
cellar_6557	cellar
AA011304	retsinformationdk
AX007736	retsinformationdk
AN009258	retsinformationdk
CL000927	retsinformationdk
ai-aktindsigt_91936	ai-aktindsigt
skat_SKM2004.399.LSR	skat
enevaeldens_nyheder_adresseavisen_1773-05-03_1202901	enevaeldens_nyheder
enevaeldens_nyheder_berlingske_1789-11-02_1157692	enevaeldens_nyheder
tidsskrift-dk_01298	tidsskrift-dk
cellar_31818	cellar
ai-aktindsigt_157524	ai-aktindsigt
cellar_60116	cellar
kb_administrative_publication_fraordtilhandling...9420	kb_administrative_publication
enevaeldens_nyheder_berlingske_1769-08-18_1144691	enevaeldens_nyheder
cellar_45861	cellar
enevaeldens_nyheder_odense_1848-05-11_1581199	enevaeldens_nyheder
enevaeldens_nyheder_aarhus_1814-08-30_1100479	enevaeldens_nyheder
maalfrid_cc29fcb49cea82378f929326030dab9460056f81_116	ncc_maalfrid
kb_administrative_publication_eleverderikkeaflæ...11244	kb_administrative_publication
enevaeldens_nyheder_ribe_1830-07-16_1174084	enevaeldens_nyheder
CL002182	retsinformationdk
CL003309	retsinformationdk
retspraksis_2417	retspraksis
enevaeldens_nyheder_odense_1817-09-01_1242315	enevaeldens_nyheder
enevaeldens_nyheder_slagelse_1832-08-18_1077534	enevaeldens_nyheder
skat_SKM2007.447.SR	skat
cellar_31097	cellar
enevaeldens_nyheder_aalborg1818_1825-06-23_1058292	enevaeldens_nyheder
wiki_298095	wiki
cellar_30211	cellar
CF001142	retsinformationdk
AN004728	retsinformationdk
skat_SKM2020.336.SR	skat
enevaeldens_nyheder_aalborg1818_1818-06-10_1002819	enevaeldens_nyheder
AN014983	retsinformationdk
enevaeldens_nyheder_odense_1811-03-29_1191212	enevaeldens_nyheder
AN013809	retsinformationdk
opensub_6997981	opensubtitles
AN002952	retsinformationdk
enevaeldens_nyheder_ribe_1808-09-26_1071186	enevaeldens_nyheder
cellar_12723	cellar
cellar_31612	cellar
CY000885	retsinformationdk
AX027613	retsinformationdk
AX005041	retsinformationdk
wiki_963963	wiki
cellar_14445	cellar
AA013273	retsinformationdk
municipality_meetings_ddeeca...4398	municipality_meetings
cellar_44382	cellar
CD000228	retsinformationdk
AX004674	retsinformationdk
enevaeldens_nyheder_berlingske_1821-05-04_1149627	enevaeldens_nyheder
CL004328	retsinformationdk
digibok_2009051403016	ncc_books
